系統	玩家路徑	原版入口	IDA 位址	原版證據	Go 消費端	remake 狀態	原版對齊狀態	下一個證據閘門
新遊戲難度	開局選擇後的 AI 與戰鬥	多個子系統直接讀 difficulty global	0x199CB0	難度為 0..4 離散索引；已追回 AI 性格、Generic AI bonuses、地面戰與安塔蘭等彼此不同的整數分支	internal/shell Difficulty、pickAIPersonality、aiColoniesForTurn、applyAIDifficultyPlayerInputs、aiSpyEmpireBonus；internal/ai AIDifficultyBonus；internal/gamedata GroundDifficultyBonus 等	五級選擇、AI Growth／Food／Prod／Res／BC／Command Deficit／Spy／Troops 已接；Antaran Marines 的 owner>=8 共用 block 已證實但目前無 typed 地面單位；通用 Mult 已移除	部分對齊	追回 quarter 精確捨入／士氣重力順序、Spy 攻守注入原版 caller，以及建造、艦隊、外交與其餘難度分支
開局科技與建築	三級文明開局	Init_Player_Tech_ / Init_NPC_Personalities_Objectives_Themes_ / Choose_Tech_Application_ / Calc_Tech_Value_ / Init_Homeworld_Colony2_	0x5E55F / 0x589D6 / 0xFD335 / 0xFC845 / 0x13A3D	科技發放次數 1/6/25；種族／政府完成後才定案；先進級以應用級單次加權抽選；人類及 AI／共用估值；raw 6/4/7 初始化與門檻；建築依優先表、3/5/9 上限與 min(ceil(2/3 population),cap)	internal/shell applyStartingTech/applyStartingRandomTech/finalizeStartingTechForRace/applyStartingBuildings；internal/gamedata initial_buildings/starting_original_application	內建／客製種族、玩家／AI 開局垂直鏈、31 格客製特性存檔／熱座與雙版存檔往返已接	raw 6/4/7 的玩家可見名稱仍未閉合；客製外觀沒有原版 raw27 來源；現行表下特性6的20/40分支不會被25/50觸發	常態 AI 已重用同一估值鏈；開局條目無新增 gate
回合主鏈	結束回合	Next_Turn_Calc_	0x136B3	52 個直接 call、固定順序、兩次殖民地計算、三個條件 gate、逐玩家領袖招募迴圈、歷史記錄早於星曆遞增均已閉合；callback／release check／mouse list 只保留邊界	internal/shell GameSession.EndTurn	原版外層拓樸已證實；remake 採不同系統切割與順序	主鏈拓樸已閉合，子系統對齊由各矩陣列分別判定	依各子系統列追回 producer／規則／consumer；見 next-turn-chain-audit-20260828.md 與 next-turn-chain-ida-20260828.json
人口成長	殖民地回合	Recompute Food/Industry Consumption / Recompute Race Growth / Apply_Colony_Pop_Growth_	0xDEB4B / 0xDF546 / 0xE1839 / 0xE2DCA	1,000 點兌換、複製中心 +100；逐族 Cybernetic／Lithovore／Android／Natives 半單位消耗、供應優先序、signed rate、最後一人保護、非農夫候選、reservoir sampling、負池先於正池、owner-first Fisher–Yates 與特殊人口不自然成長已由 IDA 閉合	internal/engine colonyPopulationConsumption／populationShortageGrowth；internal/shell advancePopulation／advanceAIColonyPopulation／population_negative_growth.go	玩家、AI、.GAM、JSON、逐槽池、AI player slot 與可存檔人口亂數流已接	可表示規則已對齊；packed colonist 排列與原版 PRNG 不宣稱逐位元 parity	追 1.31 常數、AI 難度項、事件／職務重排、低頻 mutation 與完整殖民地回寫順序
議會票數	議會選舉	Calc_Council_Vote_	0x15B90	票數為人口除以 10 後向上取整；唯一 caller 寫逐帝國票表並累加總票數	internal/gamedata CouncilVotes、internal/shell tallyCouncil／CouncilStatus	已依規格接線	已證實對齊（正人口換算）	維持邊界測試；候選、棄權與排程由相鄰矩陣列追查
議會排程	回合結束觸發議會	Check_For_Council_Meeting_	0x168AF	最早相對回合 25、存續帝國 >2、已殖民數 >= trunc(total/2)；召開後寫 currentOffset+25，sub_15239 設議會旗標	internal/gamedata CouncilFirstMeetingTurn／CouncilMeetingInterval／CouncilEligible；internal/shell advanceCouncil	原版排程、奇數星門檻與存檔餘數已接	已證實對齊（召開排程切片）	候選、棄權與外交票另由 Council_Votes_／Vote_Check_ 閉合
議會投票	議會選舉	Council_Votes_ / Vote_Check_ / sub_161E4 / sub_1633C	0x15EBC / 0x16021 / 0x161E4 / 0x1633C	候選前二、AI 雙候選獨立 1..200 檢定、雙真或雙假棄權、玩家三選一、含棄權票分母與部分分數項已由原始指令閉合	internal/shell tallyCouncil／RespondToCouncilVote／議會 UI／存檔	流程已接線；可映射分數已接	部分對齊	剩餘 +0x617/+0x6D7/+0x7EE/+0x827、sub_78398 與高難度真人縮放併入外交資料模型追查；見 council-voting-audit-20260824.md
外交回應	外交提案	Diplomacy_Test_	0x53146	政府、性格、逐對手欄位、亂數、特質、領袖或帝國加成與 -75/-50/0 結果桶	internal/shell DiplomacyResponse、internal/diplomacy	可玩的設計性重建	已證實模型不同	解出參數、switch cases、所有 record 欄位與回應消費端
AI 外交	AI 對 AI 回合	NPC_To_NPC_Treaty_Negotiations_／Diplomacy_Growth_	0x2552D／0x4DD6B	關係演化、互不侵犯／同盟／貿易／研究／納貢談判、一般宣戰／停戰、+0x5EC 國力、+0x64F／+0x65F／+0x71F 事件記憶及一般宣戰 +0x727 已接	internal/gamedata npc_treaty_negotiations.go、npc_power.go；internal/shell diplomacy_growth.go、ai_vs_ai.go、npc_power_matrix.go、npc_incident_memory.go	原版分數、raw 記憶、逐艦方向國力與締約／納貢 cooldown 已接；舊存檔缺 raw 時明標純量回退，戰爭結算仍為抽象 consumer	部分對齊	追回其餘事件／玩家回應 +0x727 writer、特殊宣戰 reason、玩家方向矩陣及抽象戰爭損失選艦 oracle
關係變動	多種外交事件	Change_Relations_	0x4E3B5	完整 406 條指令、30 個直接 caller、關係縮放、政體／Charismatic、AI／AI 百回合後難度分支、方向正式狀態早退、分數夾值與鏡射寫回已由原始指令匯出；reason 快取／抱怨欄位及 caller 語意尚未逐類閉合	internal/diplomacy 分數、shell 關係欄位；事件 4／5 對稱戰爭早退已接	多數一般外交仍是線性設計性重建	核心資料流已證實，玩家路徑部分對齊	依 30 個 caller 分類 reason、方向條約、人類／AI 守門與 +0x64F..+0x6BF 消費端；見 change-relations-ida-20260827.json 與 random-event-diplomatic-incidents-audit-20260825.md
